Date,Comp_Social,Neg_Social,Neu_Social,Pos_Social
2011-03-16,0.4404,0.0,0.938,0.062
2011-03-17,0.0,0.0,1.0,0.0
2011-03-18,0.6369,0.0,0.915,0.085
2011-03-19,0.765,0.0,0.852,0.14800000000000002
2011-03-20,0.5106,0.0,0.769,0.231
2011-03-21,0.7003,0.0,0.909,0.091
2011-03-22,0.8126,0.0,0.848,0.152
2011-03-24,0.4404,0.0,0.906,0.094
2011-03-26,0.0,0.0,1.0,0.0
2011-03-28,0.4404,0.0,0.988,0.012
2011-03-29,-0.4648,0.07400000000000001,0.926,0.0
2011-03-30,0.9821,0.0,0.737,0.263
2011-04-01,0.6597,0.0,0.974,0.026
2011-04-04,0.9439,0.0,0.848,0.152
2011-04-05,0.7003,0.058,0.759,0.183
2011-04-07,0.0,0.0,1.0,0.0
2011-04-09,0.0,0.0,1.0,0.0
2011-04-10,0.2023,0.0,0.847,0.153
2011-04-13,0.91,0.0,0.851,0.149
2011-04-16,0.4767,0.0,0.936,0.064
2011-04-17,0.5106,0.0,0.82,0.18
2011-04-18,0.9386,0.0,0.6409999999999999,0.359
2011-04-19,0.836,0.057,0.777,0.166
2011-04-20,0.9559,0.017,0.852,0.132
2011-04-21,0.8957,0.0,0.8059999999999999,0.194
2011-04-22,0.0,0.0,1.0,0.0
2011-04-23,0.0,0.0,1.0,0.0
2011-04-25,0.0,0.0,1.0,0.0
2011-04-26,0.0,0.0,1.0,0.0
2011-05-02,0.0,0.0,1.0,0.0
2011-05-03,-0.2732,0.1,0.9,0.0
2011-05-04,0.4404,0.0,0.828,0.172
2011-05-06,0.5574,0.04,0.868,0.092
2011-05-08,0.4215,0.0,0.872,0.128
2011-05-09,0.8429,0.0,0.8170000000000001,0.183
2011-05-13,-0.2732,0.042,0.958,0.0
2011-05-18,-0.8442,0.108,0.892,0.0
2011-05-20,0.5622,0.0,0.8390000000000001,0.161
2011-05-23,0.7003,0.0,0.833,0.16699999999999998
2011-05-24,0.0,0.0,1.0,0.0
2011-05-26,0.743,0.0,0.938,0.062
2011-05-27,0.9899,0.071,0.816,0.113
2011-05-30,0.93,0.027000000000000003,0.8059999999999999,0.166
2011-06-01,0.0,0.0,1.0,0.0
2011-06-03,-0.7783,0.198,0.698,0.105
2011-06-08,0.0,0.0,1.0,0.0
2011-06-09,-0.6605,0.064,0.883,0.053
2011-06-10,0.743,0.0,0.921,0.079
2011-06-11,0.3818,0.0,0.939,0.061
2011-06-14,-0.7096,0.09,0.862,0.048
2011-06-15,0.0,0.0,1.0,0.0
2011-06-16,0.4019,0.05,0.846,0.103
